Zeit [MEZ];Wasserstand;Status
"30.03.2004";"147";nicht qualitaetsgesichert
"31.03.2004";"147";nicht qualitaetsgesichert
"01.04.2004";"148";nicht qualitaetsgesichert
"02.04.2004";"153";nicht qualitaetsgesichert
"03.04.2004";"148";nicht qualitaetsgesichert
"04.04.2004";"157";nicht qualitaetsgesichert
"05.04.2004";"150";nicht qualitaetsgesichert
"06.04.2004";"158";nicht qualitaetsgesichert
"07.04.2004";"149";nicht qualitaetsgesichert
"08.04.2004";"158";nicht qualitaetsgesichert
"09.04.2004";"152";nicht qualitaetsgesichert
"10.04.2004";"159";nicht qualitaetsgesichert
"11.04.2004";"149";nicht qualitaetsgesichert
"12.04.2004";"156";nicht qualitaetsgesichert
"13.04.2004";"158";nicht qualitaetsgesichert
"14.04.2004";"147";nicht qualitaetsgesichert
"15.04.2004";"153";nicht qualitaetsgesichert
"16.04.2004";"157";nicht qualitaetsgesichert
"17.04.2004";"154";nicht qualitaetsgesichert
"18.04.2004";"147";nicht qualitaetsgesichert
"19.04.2004";"154";nicht qualitaetsgesichert
"20.04.2004";"150";nicht qualitaetsgesichert
"21.04.2004";"148";nicht qualitaetsgesichert
"22.04.2004";"154";nicht qualitaetsgesichert
"23.04.2004";"160";nicht qualitaetsgesichert
"24.04.2004";"150";nicht qualitaetsgesichert
"25.04.2004";"157";nicht qualitaetsgesichert
"26.04.2004";"147";nicht qualitaetsgesichert
"27.04.2004";"153";nicht qualitaetsgesichert
"29.04.2004";"157";nicht qualitaetsgesichert
"30.04.2004";"148";nicht qualitaetsgesichert
"01.05.2004";"153";nicht qualitaetsgesichert
"02.05.2004";"156";nicht qualitaetsgesichert
"03.05.2004";"148";nicht qualitaetsgesichert
"04.05.2004";"154";nicht qualitaetsgesichert
"05.05.2004";"160";nicht qualitaetsgesichert
"06.05.2004";"151";nicht qualitaetsgesichert
"07.05.2004";"152";nicht qualitaetsgesichert
"08.05.2004";"150";nicht qualitaetsgesichert
"09.05.2004";"152";nicht qualitaetsgesichert
"10.05.2004";"151";nicht qualitaetsgesichert
"11.05.2004";"157";nicht qualitaetsgesichert
"13.05.2004";"156";nicht qualitaetsgesichert
"14.05.2004";"150";nicht qualitaetsgesichert
"15.05.2004";"155";nicht qualitaetsgesichert
"16.05.2004";"149";nicht qualitaetsgesichert
"17.05.2004";"152";nicht qualitaetsgesichert
"18.05.2004";"155";nicht qualitaetsgesichert
"19.05.2004";"156";nicht qualitaetsgesichert
"20.05.2004";"148";nicht qualitaetsgesichert
"21.05.2004";"151";nicht qualitaetsgesichert
"22.05.2004";"153";nicht qualitaetsgesichert
"23.05.2004";"156";nicht qualitaetsgesichert
"24.05.2004";"156";nicht qualitaetsgesichert
"25.05.2004";"147";nicht qualitaetsgesichert
"26.05.2004";"150";nicht qualitaetsgesichert
"27.05.2004";"151";nicht qualitaetsgesichert
"28.05.2004";"152";nicht qualitaetsgesichert
"29.05.2004";"153";nicht qualitaetsgesichert
"30.05.2004";"153";nicht qualitaetsgesichert
"31.05.2004";"153";nicht qualitaetsgesichert
"01.06.2004";"154";nicht qualitaetsgesichert
"02.06.2004";"154";nicht qualitaetsgesichert
"03.06.2004";"155";nicht qualitaetsgesichert
"04.06.2004";"155";nicht qualitaetsgesichert
"05.06.2004";"157";nicht qualitaetsgesichert
"07.06.2004";"157";nicht qualitaetsgesichert
"08.06.2004";"155";nicht qualitaetsgesichert
"09.06.2004";"148";nicht qualitaetsgesichert
"10.06.2004";"155";nicht qualitaetsgesichert
"11.06.2004";"155";nicht qualitaetsgesichert
"12.06.2004";"149";nicht qualitaetsgesichert
"13.06.2004";"151";nicht qualitaetsgesichert
"14.06.2004";"152";nicht qualitaetsgesichert
"15.06.2004";"153";nicht qualitaetsgesichert
"16.06.2004";"153";nicht qualitaetsgesichert
"17.06.2004";"152";nicht qualitaetsgesichert
"18.06.2004";"154";nicht qualitaetsgesichert
"19.06.2004";"156";nicht qualitaetsgesichert
"20.06.2004";"154";nicht qualitaetsgesichert
"21.06.2004";"156";nicht qualitaetsgesichert
"22.06.2004";"155";nicht qualitaetsgesichert
"23.06.2004";"148";nicht qualitaetsgesichert
"24.06.2004";"156";nicht qualitaetsgesichert
"25.06.2004";"152";nicht qualitaetsgesichert
"26.06.2004";"156";nicht qualitaetsgesichert
"27.06.2004";"156";nicht qualitaetsgesichert
"28.06.2004";"157";nicht qualitaetsgesichert
"29.06.2004";"149";nicht qualitaetsgesichert
"30.06.2004";"151";nicht qualitaetsgesichert
"01.07.2004";"155";nicht qualitaetsgesichert
"02.07.2004";"152";nicht qualitaetsgesichert
"03.07.2004";"151";nicht qualitaetsgesichert
"04.07.2004";"154";nicht qualitaetsgesichert
"05.07.2004";"151";nicht qualitaetsgesichert
"06.07.2004";"156";nicht qualitaetsgesichert
"07.07.2004";"149";nicht qualitaetsgesichert
"08.07.2004";"154";nicht qualitaetsgesichert
